,sentiment,preprocess
36202,neutral,yeah ok probabl happen
36203,neutral,go today girl
36204,neutral,exactli prime minist need issu
36205,empty,ok realis earli join cult mac nvm
36206,fun,wan na kno mean fine lol curiou lol may money ti good
36207,neutral,g night
36208,fun,oh suck hardcor haha good luck finish record
36209,sadness,feel like crap today hope nice relax swim trick
36210,empty,
36211,anger,haha ltiitl bit yesterday ive day think ima chick allnight hahaha cool
36212,worry,found spin top instead outtamyleagu mp pardon sir promis buy copi cd save
36213,relief,morn tweep look forward relax sunday happi mother day mom
36214,fun,woke manag sleep go lunch later back essay
36215,neutral,monday school gosshhh wait
36216,love,thing quot shatter quot amaz song r
36217,worry,anytim
36218,enthusiasm,done anoth gem day cape town
36219,neutral,
36220,happiness,hey need car dm address
36221,hate,glad got walk finish damn thesi
36222,neutral,paathra khandvi kamane watt sunday mrng
36223,worry,mother day mom still better week ago happi weird know last tho
36224,love,thank link explain lot glad feel good friend come tomorrow fun
36225,enthusiasm,ear hurt medicin gum
36226,relief,goodnight good bye hope best dream
36227,neutral,
36228,neutral,superstar sunday superstar know sunday
36229,love,love xxxx
36230,neutral,damn felicia freakin cute
36231,neutral,fellow twitter anyon leather jacket size fat person aka pleas let borrow
36232,fun,come fun part find offer countri live outsid us chang quit tini
36233,fun,parti w elitecamp rock steadi crew ladi wow cours crazi leg holla lmao sober total sober
36234,love,happi mommi day teen thank fff
36235,neutral,horseback ride
36236,happiness,watch sex amp citi season amp drank littl wine w date end w goodnight kiss could get use night night
36237,neutral,good more gon na shower fix hair go
36238,love,happi mother day mother everi
36239,happiness,sway sway babi zommgg love need screamo tho boy
36240,relief,finish tlking laura hour minut lol go sleep night ppl
36241,worry,hot w unknown follow got quit clue follow
36242,neutral,lol catch
36243,happiness,final gone beach yeaaaah
36244,neutral,plane go littl ride mtb monday may tower
36245,neutral,go back home see b leav homi
36246,neutral,made cake mom love yay
36247,enthusiasm,popular cccd thx repli
36248,neutral,back back muffin
36249,neutral,bf glue
36250,happiness,roll jason manli talent bjj ace maul way jake look great wait fight
36251,happiness,bueno dia sweet thank
36252,neutral,hey uh lol bit lost would cool could updat phone know
36253,neutral,beauti
36254,love,ahhh music ear
36255,worry,sorri hear albert isnt well dont know whole stori keep prayer hug
36256,worry,freshman site updat help
36257,enthusiasm,lookin email photo spray paint wroclaw poland kosmo
36258,happiness,quot supris quot mom cake present mother day dad bought flower gt
36259,love,happi mother day mother good enjoy day
36260,empty,lol still would got look case
36261,happiness,fantast full weekend go finish high cheeki chilli thai fri rice amp glass red
36262,enthusiasm,aiden knive may th excit
36263,love,like jame bond seri that spi movi
36264,neutral,got home sunshin coast
36265,neutral,goodnight happi mother day
36266,love,love make happi
36267,happiness,eat truffl yum
36268,fun,sword make everyon sexi oh harold
36269,happiness,instal netgear draft router today throughput defin increas
36270,sadness,sweet dream tire excit might actual get golf morn famili tradit
36271,worry,know need get cd somewher hope sell finland
36272,worry,word live
36273,neutral,chrystina grace timberlak ring
36274,worry,awww thank lol ermm happen studi
36275,surprise,sexxxi tiiiiiimmmmmmee whatev mean
36276,happiness,adventur fun yr old mo old brave hope great time
36277,love,happi mother day mum old amp new
36278,happiness,day good spent day catch sleep relax kind lazi day hehe oooo shop resist
36279,worry,come fun part find offer countri live outsid us chang quit tini
36280,love,oh sure get everyth live like celebr
36281,love,happi mother day take mum dinner favourit restaur glenelg
36282,relief,last leg travel today total exhaust thank good quot quot keep compani
36283,neutral,hello world
36284,fun,sunday runday outta bed onto road
36285,neutral,penguin win ot probabl busi game win
36286,love,happi mother day
36287,happiness,thank feedback surreal life surreal oil
36288,love,window ledg decor quit appropri love
36289,neutral,actual workin home tonight
36290,happiness,thank ladi
36291,neutral,dig twitter pictur
36292,love,ive got greatest boyfriend world love much
36293,happiness,delici let walk sometim hubbi other miss
36294,love,world beauti pretti girl test new version
36295,neutral,yup still lot prune unfollow take time
36296,surprise,good thx
36297,love,love much got hide spot gon na go check dataloung
36298,neutral,famili matter follow roseann
36299,happiness,last week hit guinea pig pictur webshot even promot way go
36300,fun,sanctuarysunday yay sanctuari may watch requiem breakfast
36301,love,haha dude b date p wish ur b day oth novemb turn repli pleas
36302,worry,peopl myspac pleas add friend cloth line
36303,relief,grat aaron christin
36304,neutral,ppl dont miss follow superstar sunday
36305,happiness,ohhh rememb gave dad shoutout mcr msg show last year sweet
36306,neutral,totali smell like camp fire lol gross feel dirti smell seem relax wonder
36307,neutral,mom aunt haha uncl adopt diff adopt stori chat sometim lmk
36308,neutral,go lmk let go togeth
36309,worry,make cri
36310,surprise,wow dude said better bobbi lewi never heard guy compliment read bl web site
36311,happiness,wish everyon bless amp beauti mother day
36312,neutral,tweeter mobil
36313,worry,girl bangin shoe work
36314,neutral,yeah fifteen minut
36315,happiness,quot vision love quot play quot vision luv aaaaaoouoouoouu turn toooo quot mariah ur part
36316,fun,bwahahahaha shut fuck tote follow right made account made giggl like school girl
36317,empty,uber bore atm blue shower watch hous numbr csi csi ny bone doubl yay
36318,neutral,nap bedalii
36319,happiness,twa good show even like ciara last song time go bed g night
36320,relief,good friend dave wait hope dont wait long though
36321,hate,best thing ciara finish sing
36322,empty,hour work sunday boo find time two hour lunchbreak though yeah
36323,surprise,got watch recommend kickass show phast
36324,love,honeymoon good life
36325,happiness,bit lie eaten bread way good giveaway
36326,neutral,love blog musicar event good work
36327,love,today fun lt
36328,neutral,haha dont tap last season prada shoe honey quot
36329,neutral,use alot
36330,happiness,nice
36331,neutral,start twitter
36332,relief,understand keep tell make twitter app understand need
36333,love,quot congrat friend rule canada hug amp grope quot today
36334,love,great time famili big up bro si law hang love peac free
36335,neutral,let chang sulja trend topic quot soulja girl told quot
36336,neutral,want let know heard quot give f amp quot onlin radio program
36337,sadness,bahahaha love gabriel absolut fuck hilari
36338,neutral,mother day wish googl pretti amp beauti flower googl logo
36339,empty,stay mercur
36340,happiness,anyon still play anymor super nintendo day best haha mani flashback
36341,worry,alway told keep suck someth like fruit gum
36342,fun,day dream fuzzbal snl
36343,surprise,lt lt lt like himym
36344,relief,right wave
36345,enthusiasm,happi mother day mom love
36346,surprise,cours love hr donut shop truli
36347,happiness,selena mom congratul nice day
36348,happiness,bring sooo much joy show great song
36349,surprise,saw star trek boo bed never go vallejo theater happi mother day love mommi
36350,love,yay twitter secret celeb crush much info
36351,neutral,happi mother day everyon great day make sure go see momma
36352,relief,home last day weekend begin
36353,love,bring sooo much joy show great song
36354,love,happi mother day
36355,empty,welcom
36356,happiness,kind good job though know better might see friday w arbi
36357,love,ok dear tweep goodnight need get earli say happi mother day wife mom
36358,neutral,walkathon morn among first arriv finish line
36359,happiness,feel home back church
36360,happiness,great time talkin mike tonight three hr
36361,happiness,actual want buy bu day amp turn motor home imagin whop big blokeslib logo
36362,fun,epic weekend atleast year night cap hour sleep day goodnight
36363,love,happi mother day
36364,fun,btw happi mother day sissi
36365,surprise,wow buddhist hooray jew
36366,neutral,watchin hannah montana hoedown throwdown
36367,fun,parti pineforest
36368,sadness,final home exhaust work week still expect less hour sleep tonight happi mother day luv mom
36369,neutral,sweet mum want go see never went see film great
36370,neutral,oooh harlow sweet
36371,neutral,hehe ye chang like
36372,neutral,ye dear
36373,surprise,thursday night amaz taylor swift gave braclet
36374,neutral,plan way forth
36375,sadness,think ever play fun suck market promot
36376,happiness,use old phone gosh miss phone
36377,love,get tonight bridesmaid mom bride amp rockin recept
36378,neutral,nice never spald year make flower show springfield good shop centr
36379,love,happi babi momma day gt gt momma lt lt twittervil
36380,happiness,congratss
36381,surprise,time realli fli frd love hunt mission go abt time bring sexi quot yu yung quot jacket
36382,sadness,
36383,relief,thank
36384,neutral,ok lol think might date
36385,happiness,good morn world anoth wonderful day start breakfst champion kid ofcours
36386,love,tooooo dada good time
36387,surprise,hella wow doubt
36388,neutral,ty well
36389,happiness,realiz tomorrow goin beach wana
36390,enthusiasm,go captain say quot shut quot way
36391,neutral,thank
36392,happiness,day get see paniniii
36393,empty,go oh yay
36394,worry,watch x
36395,happiness,haha realli send
36396,neutral,make sure watch hd
36397,happiness,super excit bought tix see hey monday svetlana denver co
36398,happiness,go get strawberri champagn tonight
36399,empty,yeah work day
36400,fun,gotcha let meet twitt cafe
36401,fun,fun think rewatch part season today prepar morrow night
36402,worry,abt wait summer ur place ima need somewher stay anyway
36403,surprise,yawn time alreadi
36404,hate,friend request tomorrow blame nite
36405,happiness,hahah know mannnnnn trust ima freak proud
36406,neutral,hey girli
36407,happiness,woolseri morn hope see north molton clinch north devon leagu titl love day
36408,love,yummi yummi ice creammm hate heel amp whoever made pair
36409,neutral,thanx
36410,love,scan childhood photo hahah soo fun
36411,fun,lazi sunday
36412,sadness,slowli lose follow
36413,worry,omg soo tire way home long busi day fun meet new peopl catch peopl
36414,neutral,help poorer lol mexican live mx automat make time poorer
36415,enthusiasm,could bacon egss mm
36416,worry,huh wrong unix environ dev
36417,neutral,consid buy henc monk quot look
36418,love,see side look interest deep
36419,happiness,know late tcu nightli scan start oh well graduat today
36420,happiness,cold rock choc bubblegum cooki flake nerd yum xd fun day
36421,love,happi trip
36422,neutral,dmed
36423,neutral,must like song
36424,neutral,jasper clip first quot favorit quot twitter messag
36425,worry,look forward show tonight enjoy time belgium
36426,fun,let funkey stuff talk magento xmlrpc codeignit output amf zend flash
36427,neutral,rural thailand consid posh
36428,love,send mother
36429,neutral,ah better enjoy
36430,sadness,hey hunni bunni weekend like day someth
36431,neutral,nope especi got still settl
36432,surprise,last week interview told fb queen glad see connect
36433,happiness,happi mother day god mother step mother
36434,happiness,sun wake beauti day
36435,happiness,testfest weer groot succ
36436,happiness,that ok yeah good night thank glad hope enjoy bbq
36437,enthusiasm,bout smoke weed
36438,love,watch w ja love brother best friend
36439,surprise,thank thank thank everyth weekend guy amaz see alpin thx chattin w us
36440,happiness,goin good takin easi th weekend prepar big event comin girl inspir great thing
36441,love,love sweetheart wife best mother longest happi mother day
36442,love,realli rant bad day wont grate mother gma amp power amp influenti ladi life ili
36443,fun,snapppp look found twitter lollll
36444,love,hunni today say last nite haha month lt
36445,neutral,ooooo use iphon version use web sometim twidget mac
36446,neutral,goodnit sexi twigga
36447,love,great night great peolpl
36448,happiness,nite nite bday girl fun concert
36449,relief,ah thank
36450,worry,site made quot lol quot look
36451,neutral,good morn everyon
36452,happiness,good morn sunni london sound like oxymoron happen true today hurrah
36453,happiness,great hear today r best can not wait see cruis lt cindi sign
36454,love,never better follow local tweepl right
36455,happiness,thank complet calvin appreci
36456,neutral,great day bed tomorrow back sd
36457,surprise,somehow miss
36458,neutral,miss disney pirat skit snl
36459,happiness,hilari hope saw crosbi douch shirt pick wore bc
36460,worry,come tomorrow morn sort imposs task need clear space thank though
36461,worry,woke realli late today breakfast plan stay home watch tv show noth eat
36462,worry,best show life guess go sc week
36463,happiness,thnkn bout yesterday best day ever amp day virtu vs treviso futurshow hard game got ta win forza ragazzi
36464,neutral,follow pleas dm
36465,love,aw check post realli admir mom strong woman god bless
36466,neutral,yay finish journal gon na go sleep church tomorrow yay forget mother day
36467,worry,good morn work espn sunday night basebal hope get rain
36468,sadness,swine flu temperatur screen feel like crimin cold
36469,worry,omg done die went heaven thank much respons cryin right luv
36470,neutral,happi mother day love mom
36471,enthusiasm,tri sort fabric today busi bee
36472,neutral,yeah probabl stop stori complet finish though wide awak
36473,happiness,thank think us care
36474,happiness,ohhh yea film fave longgggg time humma humma
36475,happiness,tri sweet lil ipod total nerd total ok
36476,love,thank happi mother day
36477,neutral,hi kendra what follow
36478,neutral,yay get ride tow truck cool
36479,fun,kid attempt danc idea word mean move cool
36480,happiness,happi mother day mother
36481,happiness,fun b day celebr
36482,surprise,surprisingli like star trek contrari theori star war fan anti trekki
36483,happiness,order pizza watch diggnat tri tweetdeck good
36484,happiness,home tonight much fun goodnight twitterbug
36485,worry,road destin
36486,neutral,home rel sissi post pic cupi cousin audrey
36487,worry,tell ppl vancouv
36488,happiness,actual play keyboard pohaku lol play st bday earlier spin shack
36489,happiness,fun daisi mexican fiesta
36490,relief,lb still huge achiev though
36491,love,lol split second peac truli amaz
36492,love,neat mother day noth flash chillin time girl
36493,happiness,hello friend found gbw glad see twitter learn german
36494,neutral,beauti
36495,worry,whoah slow fill screen mayb effect spread tweet
36496,love,aww help get sweepi si say whip cream bed save
36497,happiness,wooh th tweet life xd
36498,surprise,age ago your right weather much better
36499,neutral,think normal drawn peopl familiar similar us cougar thing quick fun
36500,love,sleep woke check see cold hot love mom
36501,neutral,never touch drop
36502,worry,watch quot hostag quot got idea anim make hope readi post link fifth june
36503,happiness,find john mayer tweet mighti entertain hearti laugh thank john
36504,worry,chri pine pleas haha
36505,happiness,great meet kati awesom show sure safe travel home
36506,sadness,gon na ask boom boom morn
36507,neutral,lol ok got ta get folk microsoft live wa hire
36508,happiness,awww that love thing say manchest x
36509,love,happi mommi day
36510,worry,oop ignor last post meant direct messag
36511,sadness,crap lost game time today day histori lostthegam blame
36512,neutral,
36513,neutral,beer pong yee
36514,fun,sleep think holiday
36515,happiness,fab sunni day
36516,happiness,celebr mother day best lamb roast lunch follow box cadburi share around tabl wonder day
36517,fun,watch dor utv movi great perform
36518,relief,haha well kinda mommi lil pom hehe thank
36519,neutral,oooh clever bow econom wisdom sensei
36520,relief,sooo hyper even know hahahahaha
36521,worry,cool look tell think
36522,fun,lol much appreci excit
36523,neutral,fuck maaaaannnn holidayzzzzz
36524,happiness,sex beach cosmo kamikaz captain america ahhh fun night still
36525,worry,hey least pst amp even later wait good
36526,empty,watch season gg
36527,enthusiasm,ah get still fair bit go come togeth fairli well aw
36528,love,realli wan na see jona brother novemeb need find someon xx
36529,surprise,rememb challeng
36530,neutral,go bed great night friend glad know feel class someon els
36531,enthusiasm,thank keep good lad
36532,love,happi mother day babi mommasss rofl
36533,surprise,know love jordi best version cg admit lol
36534,neutral,hott coupl eventho yr ago still r
36535,surprise,wonder gerrard score top leagu moment hope citi help us today
36536,surprise,aww bradi love perth love top page lol xx
36537,neutral,oh yeah bring morn tea tomorrow
36538,love,haha iya welcom sist
36539,love,home sweet home sleep monday hope
36540,neutral,sent dm hollaback
36541,fun,joe version pretti sleeper play
36542,worry,want point youtub subscrib tom felton thought might make happi
36543,happiness,watch freo sunday arvo good hobbi
36544,happiness,like fake tan orang colour
36545,neutral,odd mayb
36546,neutral,brows digit art tutori like found hen site refresh knowledg skill
36547,neutral,movi worst fate use quot straight dvd quot quot straight divx quot quot straight internet quot
36548,happiness,updat live benihana tokyo waikiki happi birthday mark
36549,neutral,relax
36550,worry,oh annoy problem thigh hip hope catch soon
36551,happiness,chillin follow cool peopl
36552,fun,wild derbi trndstr
36553,fun,sup guy download tweetdeck gettin move right tweet nice cloth sit summat x
36554,happiness,good time flap taco
36555,happiness,happi sunday
36556,love,wish mother safe amp happi mother day
36557,surprise,cousin confirm confirm parti
36558,happiness,darren linkedin ye say twitter friend never idk peopl
36559,neutral,green comput
36560,enthusiasm,miss still club know west coast shit
36561,happiness,awsom thank wait xx
36562,neutral,yeah meg said block parti ovah
36563,neutral,denial power
36564,neutral,mozert requiem tonight
36565,worry,get anxiou blink new album
36566,neutral,simpl recip creami spaghetti bacon corn mushroom pepper
36567,worry,fuck proud
36568,love,read sweetest stori entir world love
36569,love,decod paramor great song love
36570,love,courtney seem like cool chick amp she pretti
36571,neutral,updat
36572,happiness,ps got button today complet best pictur nom got great year
36573,neutral,realli cute
36574,happiness,alkalin trio sweet save day suck great time anyway awesom see everybodi hangin
36575,neutral,got twitter
36576,surprise,suh weet perfect time
36577,happiness,twitter today
36578,worry,glad could make
36579,neutral,nearli grand prix time
36580,happiness,mozart requiem tonight
36581,enthusiasm,move rod justin even persuad son join
36582,neutral,jessiebear need think name call
36583,love,quot ooh ooh shini quot dmore awe tastic quot best anim movi ever come
36584,happiness,he definit fav host ever wait watch rest tomorrow
36585,fun,ah let start work livingroom
36586,fun,wow crazi night ever chang emot like tho
36587,surprise,rather random
36588,worry,flap taco nice pleb came
36589,love,ye cold coffe yesterday sugar cream way like
36590,neutral,brand iron drea white boubou cowgirl get haha crunk next coupl hour haha fun time
36591,happiness,us heart break littl time year know love next week new week
36592,neutral,cock pleas
36593,love,ok believ worth stay joe mac version luv covergirl luv next
36594,love,oh chase love make laugh amp btw sure drop head babi
36595,happiness,woah awesom show glad back though nighti night happi mother day mommi
36596,neutral,happi birthday
36597,love,love jordi version well joe donni differ
36598,sadness,absolut tru horror still wash ovr sometim think abt actual last day gd memori go
36599,happiness,time alway seem fli wade weird like lot
36600,neutral,okay dokay come
36601,neutral,hit special order sound bar woot
36602,relief,act like year old
36603,neutral,goodnight
36604,neutral,see
36605,fun,hey hey hey lol
36606,neutral,head spin
36607,love,kinda feel regga mood hope enjoy smooth love weekend
36608,worry,open eye properli mayb sleep lil longer fix
36609,happiness,enjoy hol xxx
36610,neutral,mother day gone work today witht camera littl hope
36611,sadness,first time week see clear blue sky
36612,fun,got back appl store robina manag get replac iphon access web properli shini
36613,neutral,tomorrow mean anna
36614,neutral,haha chanc tweet rubbish back
36615,happiness,well bed cant wait parti mother day like hour
36616,empty,sleep
36617,love,lovin new blackberri
36618,surprise,charli brown today time
36619,happiness,last night went realli well got crack shot
36620,neutral,may suggest
36621,happiness,lol know mean watch everyon els act fool much better rememb act fool
36622,fun,wow awesom andr great know wait dad bad either
36623,worry,ice cream
36624,happiness,like real time guy g night amp happi birthday kid
36625,neutral,hope meet
36626,love,excit trouser way topshop coupl day
36627,worry,pre twitter day need wait formal invit speak edu yit
36628,boredom,today bore harri potter ftw
36629,neutral,would get
36630,relief,doin tweet phone clue repli anyon thank fiercemichi soon check
36631,relief,okay quot thought quot get sick nope hahaha phew sri mike lol hope get better soon
36632,relief,lt lt finali back home
36633,love,mother world happi mother day
36634,neutral,stinkin ador check studio
36635,neutral,got new lyric book
36636,happiness,best weekend ever
36637,worry,mama best thing ever happen thank everyth amp sorri hurt love lt
36638,neutral,didnt watch star trek yet thought watch last night didnt watch today
36639,happiness,morn beauti alreadi gloriou sunshin wash vacum car done fill petrol done bbq stuff buy done
36640,neutral,pictur ross
36641,neutral,time gtalk pl make follow count
36642,happiness,thank terri excit pick parker monday hope get along david pixiebob
36643,worry,get closer rather real lobbi date chicago blogher squee
36644,love,love lil tent side jam session mosh pit edgefesssssst
36645,hate,realli bitch screw talk msn later xox
36646,neutral,download eeecontrol eee pc today play set make fan kick rpm rpm
36647,love,last time look gave us demo cool
36648,neutral,good know thank
36649,happiness,gooooooood morn camper happi mother day
36650,relief,lol whisper get troubl almost feel great home feel like kid
36651,empty,woot
36652,neutral,prize mag book annual dunno other publish prolli googl
36653,hate,inspit spam stop lose twittergadget love twit gmail
36654,neutral,wish mom happi mother day
36655,neutral,mite articl trib bout portia keep eye
36656,worry,feel pound lighter
36657,neutral,hi vishal
36658,fun,sound like plan yea excit
36659,neutral,sweet make sure put bag
36660,neutral,cheeseburg
36661,neutral,anyway
36662,fun,hey adt guess princelpl number plate adt well dunno number
36663,surprise,ooh haha thank post
36664,neutral,aw mcfli calendar x
36665,neutral,madr happi mother day
36666,neutral,watch life ryan
36667,love,love sweetheart wife best mother longest happi mother day
36668,neutral,lol welcom
36669,fun,morn well excit danc park todayyy good wooo venu xx
36670,neutral,think sure look sexi belong
36671,happiness,movi weekend watch movi far
36672,neutral,go dinnerr soon thai
36673,surprise,uncl bruce morrow news
36674,relief,worri soon
36675,relief,last librari day doomsday urgh nice wake bum though still sleep cute
36676,sadness,morn wash car remind choos white
36677,worry,beach pretti
36678,worry,know text go twitter set set fb post text
36679,neutral,latest season doesnt air indian tv channel kinda download episod view onlin
36680,worry,got ta love summer
36681,happiness,got new
36682,neutral,upgrad exact audio copi pb
36683,relief,heh that theme use
36684,neutral,hahaha mayb certain group junior hello korea world
36685,love,good deal good thank love mom
36686,happiness,beauti morn nice
36687,happiness,watch everyth illumin dreaaam lt
36688,neutral,round three tonight
36689,neutral,give shout peopl twittervil
36690,neutral,lol nope saw show tv claim figur tri get media stat
36691,happiness,gorgeou day hash around waterley bottom wonder villag quiz mistress porto even
36692,happiness,yer hope competit doesnt post video lol realli good singer enter
36693,enthusiasm,said get mcfli live album morrow what call xx
36694,neutral,would cheaper spirit tasmania ship island buss expens ship
36695,hate,shame dont still compaq portabl realli anyth portabl lmao last tweet toodl pip
36696,happiness,evrytim listen tat plce remind mojojojo dexter lab
36697,neutral,twub
36698,love,happi muthath day mom salut
36699,happiness,decor mom room asleep mother day wake banner balloon woo
36700,neutral,get call mom tomorrow mother day
36701,happiness,rememb caus watch mani youtub lol get back
36702,worry,mother day didnt anyth excit saw movi
36703,happiness,happi mother day everyon
36704,love,wish mommi happi day
36705,worry,drink mor th gfreak put togetha
36706,neutral,way cp got work
36707,relief,err yeah
36708,neutral,eat ice cream swensen
36709,love,sit watch babi life amaz afteral
36710,love,morn
36711,fun,thank watch movi abl decid hope great time friend
36712,love,hey congratul graduat r world wide popular philippin
36713,fun,meet zombi expert believ
36714,happiness,happi mother daaay
36715,happiness,water tomato plant pepper plant lettuc feel home freddi fun pack day
36716,sadness,scene slut alway shit
36717,love,lol sweet still yet watch th movi hope ur love weekend happi mother day p haha
36718,neutral,happi mother day everyon
36719,neutral,get hang soon sent email
36720,love,good morn trust well
36721,neutral,exactli follow
36722,happiness,thank accept request must littl girl mayb write back later
36723,fun,boil egg soldier
36724,worry,bacon roll tea hack day friend openhacklondon
36725,worry,feisti littl keep toe mayb yay kitti
36726,relief,thank feel good new forest later
36727,neutral,rout minnebron cell recept notori unreli tweet great day yall
36728,neutral,watch rd episod jona
36729,neutral,notic girl welcom adulthood
36730,worry,anoth loser crap lost game time today day histori lost
36731,happiness,think late night friday hit town meet friend soon ice cream coffe
36732,empty,goodnight world goodnight eddplant
36733,worry,recogn could get assign way june bring
36734,happiness,look weather greec weekend sunni omgz
36735,sadness,full thank food jean brought half watermelon eat freeway crash
36736,surprise,work splendid
36737,surprise,listen music realli happi librefm audaci combin profil
36738,love,think aaron pretti darn awesom
36739,fun,today salut mother honour feminin time beer
36740,relief,hey girl yeah thank bunch start download yet total owe
36741,happiness,eeee hiya spoken age enorm hug
36742,happiness,either went snicker although enjoy listen rr beer
36743,love,problem seem fix thank
36744,neutral,conan funni
36745,sadness,happi mother day feliz madr alreadi heaven miss
36746,happiness,thank appreci know unsubscrib list grow tomorrow lol
36747,fun,crazi fun make nice sri lanka spiritu place ye
36748,happiness,ok best snl episod seen hot minut justin wonder ciara muscl g nitey tweet tweet
36749,neutral,gym sesh
36750,neutral,splodg ketchup pleas
36751,worry,love fatti away night yummi come home facespac roomi
36752,fun,oh left smiley knew kid
36753,happiness,got home work chug big bottl appl juic
36754,sadness,ye realli
36755,happiness,way home aloha good night everyon
36756,love,lt listen fuck lamb god
36757,neutral,take bill keep chang
36758,surprise,best mother day breakfast shop lunch drink chocol galor
36759,love,happi mother day x mum love
36760,love,happi mother day
36761,fun,jass warn b go nxt fun
36762,worry,got home leav
36763,sadness,miss like cotton candi lt
36764,happiness,wow say star trek cool
36765,surprise,dinner grandma sinc mum
36766,neutral,happi mother day lt
36767,worry,hi ok still feel great
36768,love,happi mother day
36769,worry,love lol ever need slow good audiobook oliv twist listen late
36770,neutral,got answer
36771,neutral,aww kind chihuahua name zoey
36772,relief,yeah kinda glad stay home
36773,enthusiasm,quot arrest quot anyth end done
36774,happiness,realli cool put topic twitter show tweeter twitter twit got luv
36775,love,happi mom day everyon us
36776,love,frank black wifey show aaaaaaaaaamaz sd trip made
36777,love,final home citi time head sleep goodnight amp happi mommi day mother
36778,hate,miss cat sunday morn
36779,love,tofurki owe new keyboard
36780,worry,ok tweep sorri mani twitpic delet pic soon copi
36781,happiness,much set goal next coupl month prepar
36782,happiness,nine clock sunday morn outsid sat around tabl enjoy earli ray sun read twitter articl sunday time
36783,love,lohang listen music realli happi librefm audaci combin profil
36784,happiness,great wed band awesom play great song food
36785,worry,lester pitcher red sox
36786,happiness,thank stephen appreci
36787,neutral,eat someth
36788,worry,hope feel better
36789,neutral,yea dongggg
36790,neutral,quot thank god go gay quot
36791,happiness,sketchi moment mtn friend move trail sat road talk silli
36792,happiness,part work use appstor phone whole piec puzzl
36793,neutral,burp frog
36794,happiness,dinner jiuliani famili yum
36795,empty,hi holli volunt tri first hope ur fab weekend xoxox
36796,sadness,wrap well lesson nude photo famou mayb realli
36797,neutral,member street
36798,surprise,lol cheer mate yeah went well thank
36799,love,love husband made breakfast bed morn say chivalri dead
36800,love,twitter rock
36801,neutral,drive home ok night iwish
36802,happiness,yeah goe alway bring us thing let last someth call quot bird milk quot
36803,happiness,worth spose
36804,surprise,jfc need rd graduat end get awesom hook up ftsk rocket excit
36805,love,hey anna bet look cute ur blush
36806,hate,honestli hope theatr get hit meteor get
36807,happiness,oowwee china club wuz poppin lipstic pump full effect
36808,fun,tonight fun
36809,sadness,yeah lie bed thing bugger block creativ wors pin appar
36810,happiness,mayb funni like jester
36811,neutral,sweet swiss tobleron best soon meet fabul rita chichest
36812,worry,hm recommend white chocol though move dark side first
36813,fun,play quot simpson game quot nitentdo ds light
36814,surprise,mmmm shower
36815,happiness,sure peopl hangov glad know hangov free hope fragil morn
36816,worry,thank amigo
36817,worry,mother happi mother day mom god bless yhaw
36818,neutral,
36819,happiness,happi mother day
36820,neutral,happi mother day mummmyyysss
36821,happiness,hehe come back fb friend get twitter respit huh jk
36822,surprise,happi mother day havent got mom present yet print amazon gift card
36823,love,notic two top ten topic twitter right quot star trek quot quot spock quot cool love
36824,neutral,go leed
36825,love,catch last second
36826,worry,damn appl store updat come wonder
36827,neutral,mark twain quot spot bugger come crime handi time
36828,neutral,morn ashleighhh x
36829,neutral,ye go see star trek sooooo much fun
36830,sadness,onlin yeah
36831,happiness,carl jr sound hella good bring
36832,sadness,everyth ever made sinc
36833,neutral,goodmorn night sleep well
36834,love,wonder spend mother day mum
36835,relief,andi crazi label found vimto droplet yay
36836,surprise,thank found alreadi
36837,happiness,watch nemecek go comput fun lol keed norm fun
36838,hate,cupcak call anyth quot bitch quot suppos even certain circumst
36839,love,hahahahahahaha never seen lmao hey look cute
36840,love,know love mom stay late wrap gift look gloriou amp hand make card happi mother day
36841,happiness,hahaha guess reinforc skate haha rememb r friend semi god gluten intol
36842,love,went hawksmoor last night probabl best steak ever
36843,happiness,lol make way overr
36844,love,hey love freakin love
36845,enthusiasm,yiiiit night
36846,happiness,awesom day zoo yesdi gettin readi church yay
36847,worry,theme song know lol
36848,love,mum made cri coz said someth sweet love much mum best
36849,love,got home yay hi guy
36850,neutral,old answer ultim question life univers amp everyth hitchik guid fan
36851,happiness,chauffeur quot kind wonder quot idea perfect woman
36852,happiness,ok yall time go room amp cuddl wit sasha lol see yall later allig happi mother day mom amp mom
36853,empty,hi ok hope head come cloud gt love meadowbank shop center
36854,happiness,cool mother awesom hair style wish happi mother day
36855,love,jonathan tweet happi mother day lot dave though
36856,happiness,hooray
36857,fun,like quot dude quot made smile yea teach drive lol
36858,love,yay thanku hug
36859,love,twtad
36860,surprise,get old
36861,sadness,gg summer sch though attach yan go see blog check msn ask kinni
36862,neutral,mean ur tire go work got ur wii work amp ur tire
36863,neutral,paw thru amp saw innit
36864,happiness,know lol grin bear
36865,fun,total addict xbox carcassonn realli love tomb raider legend still badli need bolt
36866,love,ofcours start fightin aight parti but cool theyu held chillin home girl happi mother day
36867,happiness,get new laptop day excit inspiron coreduo ghz gb ddr gb hdd inch screen
36868,love,readi wait donni love
36869,happiness,thank rememb sae make stuff
36870,love,fun night
36871,love,sweetest children obvious great mom love read blog w msg kudo
36872,surprise,lisa ye know ur talk ye ass dont let get great thing go chri
36873,love,much longer nkotb block parti love need go bed wonder time lol thank
36874,sadness,ahhh know win entir thing tri avoid thing never work
